	Match	Coverage	Identity	E-val	Entry	Protein names	Gene	Length	ExpAA	First60	PredHel	Topology
lcl|NC_007205.1_prot_WP_011282056.1_917	WP_000042632	0.8928571428571429	0.5127272727272727	6.7889e-96	P60716	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA	308	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282057.1_919	WP_000132231	0.9202453987730062	0.32666666666666666	6.98433e-27	P0A6G3	Nicotinamide-nucleotide amidohydrolase PncC (NMN amidohydrolase PncC) (EC 3.5.1.42) (NMN deamidase) (Nicotinamide-nucleotide amidase)	pncC	163	3.1	3.09	0	o
lcl|NC_007205.1_prot_WP_011282058.1_920	WP_000154044	0.8922155688622755	0.3087248322147651	8.102e-16	P18200	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A) (PGP phosphatase A)	pgpA	167	82.44	36.22	4	i21-43o47-64i103-120o140-162i
lcl|NC_007205.1_prot_WP_011282059.1_921	WP_001219242	0.42048517520215634	0.4358974358974359	1.1834e-36	P62617	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF	371	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282060.1_922	WP_001253696	0.5160202360876898	0.22549019607843138	4.21696e-08	P0AEJ4	Osmolarity sensor protein EnvZ (EC 2.7.13.3)	envZ	593	90.16	39.51	4	o10-29i42-64o84-106i279-301o
lcl|NC_007205.1_prot_WP_011282061.1_923	WP_001188777	0.9844789356984479	0.32882882882882886	8.39971e-83	P0AFB8	Nitrogen regulation protein NR(I)	glnG	451	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011282062.1_924	WP_000691382	0.9956803455723542	0.34273318872017355	1.54643e-89	P0AGI8	Trk system potassium uptake protein TrkA (K(+)-uptake protein TrkA)	trkA	463	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011282063.1_925	WP_000545677	0.8955223880597015	0.2619047619047619	2.81059e-17	P0AFZ7	Trk system potassium uptake protein TrkH	trkH	469	246.36	42.86	10	i7-29o39-57i70-92o126-148i178-200o232-254i267-286o317-339i378-400o439-461i
lcl|NC_007205.1_prot_WP_011282065.1_927	WP_000019655	0.9343832020997376	0.5056179775280899	1.25428e-112	P45767	Putative amino-acid ABC transporter permease protein YhdX	yhdX	381	176.44	19.99	8	i7-24o71-93i114-136o161-183i196-218o243-265i323-345o350-372i
lcl|NC_007205.1_prot_WP_011282066.1_928	WP_001300681	0.8098591549295775	0.5072463768115942	2.36897e-120	P45768	Inner membrane amino-acid ABC transporter permease protein YhdY	yhdY	426	221.63	32.63	10	i20-42o52-74i94-116o156-175i182-204o219-241i262-284o294-316i337-359o389-411i
lcl|NC_007205.1_prot_WP_011282067.1_932	WP_000416392	0.9714285714285714	0.4541176470588235	0.0	P07118	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS	875	4.43	0.04	0	o
lcl|NC_007205.1_prot_WP_011282068.1_933	WP_001127399	0.9195804195804196	0.40874524714828897	3.38215e-121	P05791	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD	572	0.3	0.0	0	o
lcl|NC_007205.1_prot_WP_011282069.1_934	WP_000079274	0.9975	0.46788990825688076	5.96104e-43	P24174	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) (GDP-mannose pyrophosphorylase) (GMP) (GMPP)	manC	400	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282070.1_938	WP_000703900	0.8283132530120482	0.2872727272727273	1.97853e-32	P77555	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	allD	332	0.22	0.0	0	o
lcl|NC_007205.1_prot_WP_011282071.1_939	WP_000673918	0.9806201550387597	0.31620553359683795	3.5991e-33	P09030	Exodeoxyribonuclease III (EXO III) (Exonuclease III) (EC 3.1.11.2) (AP endonuclease VI)	xthA	258	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282072.1_941	WP_000057073	0.5148247978436657	0.3612565445026178	5.25899e-17	P15723	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)	dgt	371	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282073.1_942	WP_001340834	0.08665511265164645	0.42	0.00544228	P07813	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS	577	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282075.1_944	WP_000529320	0.8449367088607594	0.31835205992509363	1.56539e-35	P75949	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	nagZ	316	0.06	0.0	0	o
lcl|NC_007205.1_prot_WP_011282078.1_950	WP_000886683	0.9785202863961814	0.5219512195121951	1.13091e-141	P0A8L1	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS	419	0.37	0.0	0	o
lcl|NC_007205.1_prot_WP_011282079.1_952	WP_000934822	0.9090909090909091	0.37659574468085105	3.78022e-81	P0AG90	Protein translocase subunit SecD	secD	517	127.79	19.18	6	i7-24o351-373i378-400o405-427i448-470o480-499i
lcl|NC_007205.1_prot_WP_011282080.1_953	WP_000046637	0.9559322033898305	0.3900709219858156	1.39342e-73	P0AG93	Protein translocase subunit SecF	secF	295	129.65	22.08	6	i13-35o128-145i152-174o178-200i231-253o258-280i
lcl|NC_007205.1_prot_WP_011282082.1_955	WP_000357740	0.9885297184567258	0.5443037974683544	0.0	P0A698	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA	959	0.08	0.01	0	o
lcl|NC_007205.1_prot_WP_011282083.1_956	WP_000168305	0.7763157894736842	0.559322033898305	2.44171e-43	P0AGE0	Single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein)	ssb	152	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282084.1_957	WP_001281242	0.9776207302709069	0.45903614457831327	0.0	P0AES4	DNA gyrase subunit A (EC 5.99.1.3)	gyrA	849	0.47	0.4	0	o
lcl|NC_007205.1_prot_WP_011282085.1_958	WP_001171866	0.9878048780487805	0.41975308641975306	5.14725e-45	P0A6I6	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD	164	0.03	0.03	0	o
lcl|NC_007205.1_prot_WP_011282086.1_959	WP_000477225	0.8478260869565217	0.36538461538461536	7.45982e-22	P0AFL3	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Rotamase A)	ppiA	184	1.11	1.11	0	o
lcl|NC_007205.1_prot_WP_011282087.1_960	WP_000667319	0.981081081081081	0.4793388429752066	6.985e-120	P0A847	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt	370	0.04	0.0	0	o
lcl|NC_007205.1_prot_WP_011282090.1_962	WP_001238899	0.16176470588235295	0.45454545454545453	3.05741	P09980	ATP-dependent DNA helicase Rep (EC 3.6.4.12)	rep	204	52.73	24.71	2	i20-42o57-79i
lcl|NC_007205.1_prot_WP_011282091.1_963	WP_000678419	0.9414348462664714	0.359253499222395	3.03263e-123	P24230	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG	683	0.3	0.02	0	o
lcl|NC_007205.1_prot_WP_011282092.1_964	WP_001120441	0.3181818181818182	0.39285714285714285	3.86626	P45579	Uncharacterized oxidoreductase YbdH (EC 1.1.-.-)	ybdH	88	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_011282093.1_965	WP_000339104	0.9829351535836177	0.3159722222222222	6.76822e-47	P27844	Protein RarD	rarD	293	204.17	43.65	10	i12-34o39-61i73-95o100-122i129-146o150-169i181-200o215-233i240-262o272-286i
lcl|NC_007205.1_prot_WP_011282094.1_966	WP_001295177	0.7537537537537538	0.29880478087649404	3.56894e-25	P41052	Membrane-bound lytic murein transglycosylase B (EC 4.2.2.n1) (35 kDa soluble lytic transglycosylase) (Murein hydrolase B) (Slt35)	mltB	333	8.57	8.37	0	o
lcl|NC_007205.1_prot_WP_011282096.1_968	WP_001092082	0.9268929503916449	0.352112676056338	8.06408e-67	P0AEB2	D-alanyl-D-alanine carboxypeptidase DacA (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Beta-lactamase) (EC 3.5.2.6) (Penicillin-binding protein 5) (PBP-5)	dacA	383	0.97	0.94	0	o
lcl|NC_007205.1_prot_WP_011282097.1_969	WP_001157938	0.08866995073891626	0.3888888888888889	7.24249	P33667	tRNA 2-selenouridine synthase (EC 2.9.1.-) (Selenophosphate-dependent tRNA 2-selenouridine synthase)	selU	203	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011282098.1_970	WP_001267956	0.8096774193548387	0.21912350597609562	2.09959e-13	P28631	DNA polymerase III subunit delta' (EC 2.7.7.7)	holB	310	0.58	0.0	0	o
lcl|NC_007205.1_prot_WP_011282099.1_971	WP_001350533	0.9941520467836257	0.26666666666666666	1.94247e-46	P00959	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG	513	0.1	0.06	0	o
lcl|NC_007205.1_prot_WP_011282100.1_972	WP_000480245	1.0	0.3464566929133858	1.48956e-60	P0AFQ7	Uncharacterized metal-dependent hydrolase YcfH (EC 3.1.-.-)	ycfH	254	0.09	0.0	0	o
lcl|NC_007205.1_prot_WP_011282105.1_978	WP_001301663	0.9696969696969697	0.4375	6.73423e-92	P0AFY6	Peptide antibiotic transporter SbmA	sbmA	330	111.39	19.25	5	i12-31o69-91i140-162o172-194i256-278o
lcl|NC_007205.1_prot_WP_011282106.1_979	WP_001250644	0.9587301587301588	0.423841059602649	2.22586e-75	P0A9C9	Fructose-1,6-bisphosphatase 1 class 2 (FBPase 1 class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1 class 2)	glpX	315	0.15	0.0	0	o
lcl|NC_007205.1_prot_WP_011282107.1_980	WP_000813200	0.8386524822695035	0.26849894291754756	6.97479e-49	P21893	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	recJ	564	0.75	0.0	0	o
lcl|NC_007205.1_prot_WP_011282109.1_982	WP_000190854	0.05420827389443652	0.39473684210526316	6.45891	P29013	Uncharacterized protein YcgB	ycgB	701	0.02	0.01	0	o
lcl|NC_007205.1_prot_WP_011282110.1_983	WP_000277917	0.902542372881356	0.3286384976525822	2.15965e-19	P31666	Uncharacterized protein YadE	yadE	236	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282112.1_985	WP_000993449	0.12222222222222222	0.3939393939393939	8.89637	P0AC86	Glycogen phosphorylase (EC 2.4.1.1)	glgP	270	0.02	0.01	0	o
lcl|NC_007205.1_prot_WP_011282114.1_987	WP_001181473	0.11041009463722397	0.45714285714285713	4.4459	P0AFG3	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	sucA	317	7.67	1.83	0	o
lcl|NC_007205.1_prot_WP_011282118.1_991	WP_000710375	0.9157894736842105	0.4827586206896552	4.79302e-24	P06134	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)]	ada	95	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_011282123.1_996	WP_000935370	0.9911764705882353	0.34124629080118696	4.26498e-49	P11446	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	argC	340	1.06	0.64	0	o
lcl|NC_007205.1_prot_WP_011282128.1_1006	WP_000290727	0.9333333333333333	0.42857142857142855	5.00104e-08	P0A7N4	50S ribosomal protein L32	rpmF	60	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_011282129.1_1008	WP_001109196	0.24675324675324675	0.4473684210526316	0.0918218	P0AB91	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG	154	1.31	1.3	0	o
lcl|NC_007205.1_prot_WP_011282131.1_1010	WP_000742109	0.987460815047022	0.28888888888888886	1.4473e-34	P0AGG0	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	thiL	319	0.06	0.0	0	o
lcl|NC_007205.1_prot_WP_011282133.1_1014	WP_000493947	0.9593908629441624	0.3439153439153439	6.45679e-23	P0AFU8	Riboflavin synthase (RS) (EC 2.5.1.9)	ribC	197	0.04	0.03	0	o
lcl|NC_007205.1_prot_WP_011282135.1_1017	WP_000919159	0.9380733944954128	0.5378973105134475	1.44625e-145	P0A825	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA	436	0.05	0.0	0	o
lcl|NC_007205.1_prot_WP_011282138.1_1028	WP_000215139	0.8092485549132948	0.37142857142857144	1.70774e-23	P26281	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	folK	173	0.19	0.15	0	o
lcl|NC_007205.1_prot_WP_011282139.1_1031	WP_000409451	0.25780189959294436	0.39473684210526316	1.86327e-27	P0AGC3	Soluble lytic murein transglycosylase (EC 4.2.2.n1) (Exomuramidase) (Peptidoglycan lytic exotransglycosylase) (Slt70)	slt	737	21.77	21.57	1	i5-27o
lcl|NC_007205.1_prot_WP_011282142.1_1041	WP_001144615	0.8006644518272426	0.2863070539419087	2.01083e-28	P24188	UPF0176 protein YceA (ORF39.9)	yceA	301	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282146.1_1048	WP_000006900	0.9322429906542056	0.2531328320802005	1.5531e-29	P77671	Allantoinase (EC 3.5.2.5) (Allantoin-utilizing enzyme)	allB	428	0.19	0.0	0	o
lcl|NC_007205.1_prot_WP_011282147.1_1050	WP_001297122	0.7207415990730012	0.4292604501607717	1.27049e-154	P06612	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA	863	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282149.1_1053	WP_000704857	0.9143518518518519	0.2582278481012658	1.68713e-39	P76373	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	ugd	432	0.11	0.1	0	o
lcl|NC_007205.1_prot_WP_011282150.1_1054	WP_000718995	0.981549815498155	0.3233082706766917	4.79899e-40	P0AEP3	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)	galU	271	0.29	0.29	0	o
lcl|NC_007205.1_prot_WP_011282151.1_1055	WP_000905383	0.9	0.3134920634920635	7.01425e-43	P31663	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC	280	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282152.1_1064	WP_001118861	0.9882629107981221	0.5510688836104513	2.04976e-147	P0AGA2	Protein translocase subunit SecY	secY	426	218.92	23.25	10	i13-35o67-89i109-131o141-163i170-192o202-224i260-282o302-324i362-379o383-400i
lcl|NC_007205.1_prot_WP_011282153.1_1071	WP_001096200	0.9728260869565217	0.4692737430167598	1.00422e-55	P62399	50S ribosomal protein L5	rplE	184	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282154.1_1074	WP_000130100	0.9102564102564102	0.43661971830985913	6.78024e-16	P0AG63	30S ribosomal protein S17	rpsQ	78	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282155.1_1077	WP_000529945	0.9203539823008849	0.5480769230769231	6.46508e-86	P0A7V3	30S ribosomal protein S3	rpsC	226	0.08	0.0	0	o
lcl|NC_007205.1_prot_WP_011282157.1_1083	WP_000579833	0.8771186440677966	0.4830917874396135	4.38989e-63	P60438	50S ribosomal protein L3	rplC	236	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282158.1_1088	WP_000653944	0.9654427645788337	0.5764354958985831	0.0	P0A8T7	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC	1389	0.06	0.0	0	o
lcl|NC_007205.1_prot_WP_011282159.1_1089	WP_000263098	0.9992663242846662	0.5513950073421439	0.0	P0A8V2	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB	1363	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011282160.1_1092	WP_001096684	0.9650655021834061	0.4117647058823529	1.85794e-46	P0A7L0	50S ribosomal protein L1	rplA	229	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282162.1_1110	WP_000098896	0.8863636363636364	0.34472934472934474	3.50228e-61	P0A9H7	Cyclopropane-fatty-acyl-phospholipid synthase (CFA synthase) (Cyclopropane fatty acid synthase) (EC 2.1.1.79)	cfa	396	0.09	0.0	0	o
lcl|NC_007205.1_prot_WP_011282163.1_1112	WP_000940019	0.9873417721518988	0.2905982905982906	6.75119e-25	P0AE01	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)	trmJ	237	1.37	0.0	0	o
lcl|NC_007205.1_prot_WP_011282164.1_1113	WP_000082850	0.9718574108818011	0.2972972972972973	3.75004e-54	P09151	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA	533	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011282165.1_1114	WP_000912385	0.9823399558498896	0.4044943820224719	1.86325e-110	P21888	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS	453	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282168.1_1117	WP_000334099	1.0	0.429042904290429	2.74874e-172	P17169	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS	606	1.57	0.0	0	o
lcl|NC_007205.1_prot_WP_011282169.1_1118	WP_000933736	1.0	0.42995169082125606	2.37827e-53	P0ACC7	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU	207	0.04	0.01	0	i
lcl|NC_007205.1_prot_WP_011282170.1_1119	WP_001031729	0.8427947598253275	0.3316062176165803	4.27699e-22	P32662	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	gph	229	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_011282171.1_1120	WP_001275859	0.746	0.257372654155496	3.67708e-17	P77243	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)	prpD	500	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011282172.1_1122	WP_001285927	0.9786096256684492	0.38524590163934425	2.30853e-87	P31660	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase) (EC 2.3.3.16)	prpC	374	0.14	0.0	0	o
lcl|NC_007205.1_prot_WP_011282175.1_1125	WP_000246534	0.834108527131783	0.3104089219330855	2.43606e-42	P39452	Ribonucleoside-diphosphate reductase 2 subunit alpha (EC 1.17.4.1) (R1E protein) (Ribonucleotide reductase 2)	nrdE	645	0.08	0.0	0	o
lcl|NC_007205.1_prot_WP_011282176.1_1126	WP_001350528	0.9462809917355371	0.28602620087336245	1.6778e-36	P24175	Phosphomannomutase (PMM) (EC 5.4.2.8)	manB	484	0.09	0.0	0	o
lcl|NC_007205.1_prot_WP_011282180.1_1130	WP_000077872	0.224	0.42857142857142855	2.93714	P21179	Catalase HPII (EC 1.11.1.6) (Hydroxyperoxidase II)	katE	125	0.06	0.06	0	o
lcl|NC_007205.1_prot_WP_011282183.1_1133	WP_000036723	0.1981981981981982	0.5	1.03495	P0A6P9	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno	111	0.03	0.03	0	o
lcl|NC_007205.1_prot_WP_011282187.1_1138	WP_000134870	0.9664429530201343	0.2800925925925926	3.13706e-48	P37906	Gamma-glutamylputrescine oxidoreductase (Gamma-Glu-Put oxidase) (Gamma-glutamylputrescine oxidase) (EC 1.4.3.-)	puuB	447	0.88	0.5	0	o
lcl|NC_007205.1_prot_WP_011282189.1_1140	WP_000107384	0.10764872521246459	0.3157894736842105	5.35373	P0ACD8	Hydrogenase-1 large chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 large subunit) (NiFe hydrogenase)	hyaB	353	0.24	0.0	0	o
lcl|NC_007205.1_prot_WP_011282191.1_1142	WP_000113933	1.0	0.4557522123893805	6.79135e-77	P0AFJ5	Phosphate regulon transcriptional regulatory protein PhoB	phoB	226	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282192.1_1143	WP_000377786	0.9310344827586207	0.32407407407407407	6.22454e-38	P0A9K7	Phosphate-specific transport system accessory protein PhoU (Pst system accessory protein PhoU) (Negative regulator of Pho regulon)	phoU	232	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282193.1_1144	WP_001293613	0.9882352941176471	0.3611111111111111	8.17024e-32	P07109	Histidine transport ATP-binding protein HisP	hisP	255	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282194.1_1145	WP_001251998	0.5202863961813843	0.2798165137614679	1.88455e-17	P07654	Phosphate transport system permease protein PstA	pstA	419	128.86	21.88	6	i19-41o204-226i246-268o273-290i335-357o392-411i
lcl|NC_007205.1_prot_WP_011282195.1_1146	WP_000741620	0.5278969957081545	0.3089430894308943	2.30731e-23	P0AGH8	Phosphate transport system permease protein PstC	pstC	466	194.12	37.28	9	o4-21i42-64o131-150i163-185o237-259i280-302o317-336i366-388o436-458i
lcl|NC_007205.1_prot_WP_011282197.1_1148	WP_000675150	0.7089337175792507	0.3130081300813008	8.99409e-32	P30847	Signal transduction histidine-protein kinase BaeS (EC 2.7.13.3)	baeS	347	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011282199.1_1150	WP_000812896	0.7166666666666667	0.3023255813953488	0.40492	P32712	Formate-dependent nitrite reductase complex subunit NrfG	nrfG	60	21.83	21.83	1	o4-26i
lcl|NC_007205.1_prot_WP_011282200.1_1151	WP_000339954	0.2903225806451613	0.3333333333333333	9.3437	P31665	Uncharacterized protein YadD	yadD	124	74.57	35.4	3	o23-45i57-79o94-116i
lcl|NC_007205.1_prot_WP_011282202.1_1153	WP_001271242	0.8605442176870748	0.22529644268774704	0.124692	P0ABT8	Probable cystine transporter YijE	yijE	294	206.44	39.28	10	i5-27o32-51i64-83o88-110i117-135o150-169i176-198o211-233i240-262o267-286i
lcl|NC_007205.1_prot_WP_011282204.1_1155	WP_000373021	0.7446351931330472	0.27953890489913547	1.6242e-27	P00370	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	gdhA	466	1.34	0.0	0	o
lcl|NC_007205.1_prot_WP_011282210.1_1162	WP_000135058	0.29444444444444445	0.5283018867924528	1.30923e-11	P0A800	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ	180	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011282211.1_1163	WP_000081197	0.12935323383084577	0.2692307692307692	0.817363	P76198	Inner membrane transport protein YdiN	ydiN	402	250.89	39.26	12	i9-31o46-65i78-100o104-126i138-160o165-185i218-240o255-277i284-303o307-329i342-364o374-393i
lcl|NC_007205.1_prot_WP_011282212.1_1164	WP_000718893	0.9930555555555556	0.2692307692307692	3.97056e-31	P0A9V8	3-sulfolactaldehyde reductase (SLA reductase) (EC 1.1.1.373)	yihU	288	3.87	3.83	0	o
lcl|NC_007205.1_prot_WP_011282214.1_1166	WP_001123464	0.8529411764705882	0.3931034482758621	2.15143e-32	P77181	Phenylacetic acid degradation protein PaaY	paaY	170	0.19	0.0	0	o
lcl|NC_007205.1_prot_WP_011282217.1_1169	WP_000443067	0.134	0.34328358208955223	4.16436	P0A877	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA	500	257.63	31.15	12	i21-43o58-80i108-130o145-160i165-182o202-223i261-283o325-347i360-382o397-414i419-437o475-492i
lcl|NC_007205.1_prot_WP_011282222.1_1177	WP_000748271	0.9752650176678446	0.35144927536231885	2.15674e-38	P09551	Lysine/arginine/ornithine-binding periplasmic protein (LAO-binding protein)	argT	283	2.52	2.27	0	o
lcl|NC_007205.1_prot_WP_011282224.1_1179	WP_000689844	0.8620689655172413	0.31333333333333335	9.30694e-10	P0AF12	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (P46) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN	174	0.02	0.02	0	o
lcl|NC_007205.1_prot_WP_011282230.1_1186	WP_000360904	0.25	0.38095238095238093	1.58841e-07	P36647	Prepilin peptidase-dependent protein D	ppdD	252	22.68	22.67	1	i13-35o
lcl|NC_007205.1_prot_WP_011282231.1_1188	WP_000134870	0.4692874692874693	0.24083769633507854	0.000407372	P37906	Gamma-glutamylputrescine oxidoreductase (Gamma-Glu-Put oxidase) (Gamma-glutamylputrescine oxidase) (EC 1.4.3.-)	puuB	814	3.12	3.07	0	o
lcl|NC_007205.1_prot_WP_011282232.1_1191	WP_000376841	0.13247863247863248	0.3225806451612903	7.25357	P27129	Lipopolysaccharide 1,2-glucosyltransferase (EC 2.4.1.58)	rfaJ	234	9.85	9.84	0	o
lcl|NC_007205.1_prot_WP_011282235.1_1195	WP_001052715	0.47477744807121663	0.33125	2.48509e-14	P0AC84	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	gloB	337	0.0	0.0	0	o
